person,شخص
bicycle,دراجة
car,سيارة
motorcycle,دراجة نارية
airplane,مطار
bus,حافلة
train,قطار
truck,شاحنة
boat,قارب
traffic light,إشارة مرور
fire hydrant,صنبور الاطفاء
stop sign,لافتة توقف
parking meter,عداد موقف
bench,مقعد
bird,طائر
cat,قط
dog,كلب
horse,حصان
sheep,خروف
cow,بقرة
elephant,فيل
bear,دب
zebra,حمار وحشي
giraffe,زرافة
backpack,حقيبة ظهر
umbrella,مظلة
handbag,حقيبة يد
tie,ربطة عنق
suitcase,حقيبة سفر
frisbee,طبق
skis,زحلوقة
snowboard,يتزحلق
sports ball,كرة رياضية
kite,طائرة ورقية
baseball bat,مضرب البيسبول
baseball glove,قفاز البيسبول
skateboard,لوح تزلج
surfboard,مزلجة
tennis racket,مضرب تنس
bottle,زجاجة
wine glass,كأس نبيذ
cup,كوب
fork,شوكة
knife,سكين
spoon,ملعقة
bowl,وعاء
banana,موزة
apple,تفاحة
sandwich,ساندويتش
orange,برتقالة
broccoli,بروكلي
carrot,جزرة
hot dog,نقانق
pizza,بيتزا
donut,دونت
cake,كيكة
chair,كرسي
couch,أريكة
potted plant,نبتة
bed,السرير
dining table,طاولة الطعام
toilet,حمام
tv,تلفزيون
laptop,لابتوب
mouse,فأرة
remote,ريموت
keyboard,لوحة المفاتيح
cell phone,خلوي
microwave,ميكرويف
oven,فرن
toaster,محمصة
sink,حوض
refrigerator,ثلاجة
book,كتاب
clock,ساعة حائط
vase,مزهرية
scissors,مقص
teddy bear,دمية دب
hair drier,سشوار
toothbrush,فرشاة أسنان
